Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Depth,elev,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Lat_Lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,samp_collect_device,Sample Name,Source_material_ID,SRA Study
SRR9106092,AMPLICON,592,90517679,PRJNA544067,SAMN11808471,"MIMS.me,MIGS/MIMS/MIMARKS.soil",51886553,UNIVERSITY OF CALIFORNIA RIVERSIDE,2015-03-16,public,"run.zq,fastq,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",Subsurface,805 m,Mojave Desert,Mojave Desert,Desert,SRX5880769,USA,North America,USA: KELSO DUNES,Illumina MiSeq,34.89 N 115.69 W,GMT.LAC.SUB,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2019-12-20T00:00:00Z,2019-05-22T11:50:00Z,1,Sterile metal spatula,GMT.LAC.SUB,GMT.LAC.SUB,SRP199138
SRR9106093,AMPLICON,593,85652860,PRJNA544067,SAMN11808474,"MIMS.me,MIGS/MIMS/MIMARKS.soil",48859286,UNIVERSITY OF CALIFORNIA RIVERSIDE,2015-03-16,public,"sra,fastq,run.zq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",Subsurface,1215 m,Mojave Desert,Mojave Desert,Desert,SRX5880768,USA,North America,USA: Granite Mountian,Illumina MiSeq,34.78 N 115.63 W,KELSO.CLC.SUB,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2019-12-20T00:00:00Z,2019-05-22T11:50:00Z,1,Sterile metal spatula,KELSO.CLC.SUB,KELSO.CLC.SUB,SRP199138
SRR9106094,AMPLICON,585,109407006,PRJNA544067,SAMN11808478,"MIMS.me,MIGS/MIMS/MIMARKS.soil",61154410,UNIVERSITY OF CALIFORNIA RIVERSIDE,2015-03-16,public,"sra,fastq,run.zq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",Subsurface,1215 m,Mojave Desert,Mojave Desert,Desert,SRX5880767,USA,North America,USA: Granite Mountian,Illumina MiSeq,34.78 N 115.63 W,KELSO.SMC.SUB,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2019-12-20T00:00:00Z,2019-05-22T11:50:00Z,1,Sterile metal spatula,KELSO.SMC.SUB,KELSO.SMC.SUB,SRP199138
SRR9106095,AMPLICON,577,100314046,PRJNA544067,SAMN11808473,"MIMS.me,MIGS/MIMS/MIMARKS.soil",58742289,UNIVERSITY OF CALIFORNIA RIVERSIDE,2015-03-16,public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",Subsurface,805 m,Mojave Desert,Mojave Desert,Desert,SRX5880766,USA,North America,USA: KELSO DUNES,Illumina MiSeq,34.89 N 115.69 W,GMT.SMC.SUB,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2019-12-20T00:00:00Z,2019-05-22T11:50:00Z,1,Sterile metal spatula,GMT.SMC.SUB,GMT.SMC.SUB,SRP199138
SRR9106096,AMPLICON,601,121401173,PRJNA544067,SAMN11808439,"MIMS.me,MIGS/MIMS/MIMARKS.soil",78516680,UNIVERSITY OF CALIFORNIA RIVERSIDE,2017-03-31,public,"fastq,run.zq,sra","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",Surface,582 m,Mojave Desert,Mojave Desert,Desert,SRX5880765,USA,North America,USA: Joshua Tree National Park,Illumina MiSeq,34.10 N 115.45 W,NPMarch5SF,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2019-12-20T00:00:00Z,2019-05-22T11:50:00Z,1,Sterile metal spatula,NPMarch5SF,NPMarch5SF,SRP199138
SRR9106097,AMPLICON,601,116974772,PRJNA544067,SAMN11808433,"MIMS.me,MIGS/MIMS/MIMARKS.soil",74832028,UNIVERSITY OF CALIFORNIA RIVERSIDE,2017-03-31,public,"fastq,sra,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",Surface,582 m,Mojave Desert,Mojave Desert,Desert,SRX5880764,USA,North America,USA: Joshua Tree National Park,Illumina MiSeq,34.10 N 115.45 W,NPMarch2SF,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2019-12-20T00:00:00Z,2019-05-22T11:50:00Z,1,Sterile metal spatula,NPMarch2SF,NPMarch2SF,SRP199138
SRR9106098,AMPLICON,601,62216906,PRJNA544067,SAMN11808434,"MIMS.me,MIGS/MIMS/MIMARKS.soil",40889325,UNIVERSITY OF CALIFORNIA RIVERSIDE,2017-03-31,public,"sra,run.zq,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",Subsurface,582 m,Mojave Desert,Mojave Desert,Desert,SRX5880763,USA,North America,USA: Joshua Tree National Park,Illumina MiSeq,34.10 N 115.45 W,NPMarch2Sub,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2019-12-20T00:00:00Z,2019-05-22T11:50:00Z,1,Sterile metal spatula,NPMarch2Sub,NPMarch2Sub,SRP199138
SRR9106099,AMPLICON,601,101278735,PRJNA544067,SAMN11808431,"MIMS.me,MIGS/MIMS/MIMARKS.soil",63708346,UNIVERSITY OF CALIFORNIA RIVERSIDE,2017-03-31,public,"fastq,run.zq,sra","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",Surface,582 m,Mojave Desert,Mojave Desert,Desert,SRX5880762,USA,North America,USA: Joshua Tree National Park,Illumina MiSeq,34.10 N 115.45 W,NPMarch1SF,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2019-12-20T00:00:00Z,2019-05-22T11:50:00Z,1,Sterile metal spatula,NPMarch1SF,NPMarch1SF,SRP199138
SRR9106100,AMPLICON,601,90924492,PRJNA544067,SAMN11808432,"MIMS.me,MIGS/MIMS/MIMARKS.soil",58355617,UNIVERSITY OF CALIFORNIA RIVERSIDE,2017-03-31,public,"run.zq,sra,fastq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",Subsurface,582 m,Mojave Desert,Mojave Desert,Desert,SRX5880761,USA,North America,USA: Joshua Tree National Park,Illumina MiSeq,34.10 N 115.45 W,NPMarch1Sub,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2019-12-20T00:00:00Z,2019-05-22T11:50:00Z,1,Sterile metal spatula,NPMarch1Sub,NPMarch1Sub,SRP199138
SRR9106101,AMPLICON,601,100841571,PRJNA544067,SAMN11808437,"MIMS.me,MIGS/MIMS/MIMARKS.soil",65338296,UNIVERSITY OF CALIFORNIA RIVERSIDE,2017-03-31,public,"sra,fastq,run.zq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",Surface,582 m,Mojave Desert,Mojave Desert,Desert,SRX5880760,USA,North America,USA: Joshua Tree National Park,Illumina MiSeq,34.10 N 115.45 W,NPMarch4SF,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2019-12-20T00:00:00Z,2019-05-22T11:50:00Z,1,Sterile metal spatula,NPMarch4SF,NPMarch4SF,SRP199138
SRR9106102,AMPLICON,601,79363129,PRJNA544067,SAMN11808438,"MIMS.me,MIGS/MIMS/MIMARKS.soil",52344805,UNIVERSITY OF CALIFORNIA RIVERSIDE,2017-03-31,public,"fastq,sra,run.zq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",Subsurface,582 m,Mojave Desert,Mojave Desert,Desert,SRX5880759,USA,North America,USA: Joshua Tree National Park,Illumina MiSeq,34.10 N 115.45 W,NPMarch4Sub,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2019-12-20T00:00:00Z,2019-05-22T11:50:00Z,1,Sterile metal spatula,NPMarch4Sub,NPMarch4Sub,SRP199138
SRR9106103,AMPLICON,601,117053834,PRJNA544067,SAMN11808435,"MIMS.me,MIGS/MIMS/MIMARKS.soil",77211721,UNIVERSITY OF CALIFORNIA RIVERSIDE,2017-03-31,public,"run.zq,fastq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",Surface,582 m,Mojave Desert,Mojave Desert,Desert,SRX5880758,USA,North America,USA: Joshua Tree National Park,Illumina MiSeq,34.10 N 115.45 W,NPMarch3SF,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2019-12-20T00:00:00Z,2019-05-22T11:50:00Z,1,Sterile metal spatula,NPMarch3SF,NPMarch3SF,SRP199138
SRR9106104,AMPLICON,601,82964089,PRJNA544067,SAMN11808436,"MIMS.me,MIGS/MIMS/MIMARKS.soil",55038124,UNIVERSITY OF CALIFORNIA RIVERSIDE,2017-03-31,public,"sra,fastq,run.zq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",Subsurface,582 m,Mojave Desert,Mojave Desert,Desert,SRX5880757,USA,North America,USA: Joshua Tree National Park,Illumina MiSeq,34.10 N 115.45 W,NPMarch3Sub,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2019-12-20T00:00:00Z,2019-05-22T11:50:00Z,1,Sterile metal spatula,NPMarch3Sub,NPMarch3Sub,SRP199138
SRR9106105,AMPLICON,582,145242425,PRJNA544067,SAMN11808477,"MIMS.me,MIGS/MIMS/MIMARKS.soil",83368706,UNIVERSITY OF CALIFORNIA RIVERSIDE,2015-03-16,public,"sra,fastq,run.zq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",Subsurface,1215 m,Mojave Desert,Mojave Desert,Desert,SRX5880756,USA,North America,USA: Granite Mountian,Illumina MiSeq,34.78 N 115.63 W,KELSO.RMC.SUB,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2019-12-20T00:00:00Z,2019-05-22T11:50:00Z,1,Sterile metal spatula,KELSO.RMC.SUB,KELSO.RMC.SUB,SRP199138
SRR9106106,AMPLICON,601,105715789,PRJNA544067,SAMN11808440,"MIMS.me,MIGS/MIMS/MIMARKS.soil",68768321,UNIVERSITY OF CALIFORNIA RIVERSIDE,2017-03-31,public,"sra,fastq,run.zq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Subsurface,582 m,Mojave Desert,Mojave Desert,Desert,SRX5880755,USA,North America,USA: Joshua Tree National Park,Illumina MiSeq,34.10 N 115.45 W,NPMarch5Sub,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2019-12-20T00:00:00Z,2019-05-22T11:51:00Z,1,Sterile metal spatula,NPMarch5Sub,NPMarch5Sub,SRP199138
