#OTUID	taxonomy	USEARCH	SINTAX	UTAX
ASV1	GS|0.0|None;No hit	No hit	No hit	No hit
ASV2	GS|100.0|KF535949|SH1174631.09FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Amanitaceae,g:Amanita,s:Amanita exitialis	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Amanitaceae,g:Amanita,s:Amanita exitialis	No hit	No hit
ASV3	GS|97.0|UDB03518930|SH1213958.09FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Hygrophoraceae	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Hygrophoraceae	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Hygrophoraceae	No hit
ASV4	GS|100.0|MH474435|SH0985300.09FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Didymellaceae,g:Leptosphaerulina,s:Leptosphaerulina australis	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Didymellaceae,g:Leptosphaerulina,s:Leptosphaerulina australis	k:Fungi	No hit
ASV5	SS|0.9200|MZ922179|SH1178778.09FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Verrucariales,f:Verrucariaceae	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Verrucariales,f:Verrucariaceae,g:Placidium,s:Placidium lacinulatum	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Verrucariales,f:Verrucariaceae	No hit
ASV6	GS|0.0|None;No hit	No hit	No hit	No hit
ASV7	GS|0.0|None;No hit	No hit	No hit	No hit
ASV8	SS|0.8500|UDB05031462|SH1028259.09FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Phaeosphaeriaceae	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Phaeosphaeriaceae	No hit
ASV9	GS|99.2|KY706161|SH1105847.09FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Tricholomataceae,g:Omphalina,s:Omphalina pyxidata	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Tricholomataceae,g:Omphalina,s:Omphalina pyxidata	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Tricholomataceae,g:Omphalina,s:Omphalina pyxidata	No hit
ASV10	GS|99.6|UDB05329074|SH1167468.09FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Entolomataceae,g:Entoloma,s:Entoloma halophilum	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Entolomataceae,g:Entoloma	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Entolomataceae,g:Entoloma,s:Entoloma halophilum	No hit
ASV11	GSL|100.0|GU237884|SH0985300.09FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Didymellaceae,g:Macroventuria	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Didymellaceae,g:Macroventuria	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Didymellaceae	No hit
ASV12	GS|0.0|None;No hit	No hit	No hit	No hit
ASV13	SS|0.8200|KF296868|SH1171393.09FU;k:Fungi,p:Ascomycota	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales	k:Fungi,p:Ascomycota	No hit
ASV14	GSL|100.0|MZ485465|SH1010429.09FU;k:Fungi,p:Ascomycota,c:Dothideomycetes	k:Fungi,p:Ascomycota,c:Dothideomycetes	k:Fungi,p:Ascomycota,c:Dothideomycetes	No hit
ASV15	SS|1.0000|EU480152|SH1145110.09FU;k:Fungi,p:Ascomycota	k:Fungi	k:Fungi,p:Ascomycota	No hit
ASV16	GS|0.0|None;No hit	No hit	No hit	No hit
ASV17	GS|0.0|None;No hit	No hit	No hit	No hit
ASV18	GS|0.0|None;No hit	No hit	No hit	No hit
ASV19	GSL|100.0|JF750744|SH0985300.09FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Didymellaceae	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Didymellaceae	k:Fungi	No hit
ASV20	GS|0.0|None;No hit	No hit	No hit	No hit
ASV21	GS|79.6|MT199218|SH1083051.09FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales,f:Aspergillaceae,g:Aspergillus,s:Aspergillus sclerotiorum	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales,f:Aspergillaceae,g:Aspergillus,s:Aspergillus sclerotiorum	No hit	No hit
ASV22	GSL|100.0|MZ540271|SH1008722.09FU;k:Fungi,p:Basidiomycota,c:Microbotryomycetes,o:Sporidiobolales,f:Sporidiobolaceae,g:Rhodotorula,s:Rhodotorula mucilaginosa	k:Fungi,p:Basidiomycota	k:Fungi,p:Basidiomycota,c:Microbotryomycetes,o:Sporidiobolales,f:Sporidiobolaceae,g:Rhodotorula,s:Rhodotorula mucilaginosa	No hit
ASV23	GS|99.4|OM373085|SH0978296.09FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Sporormiaceae,g:Preussia	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Sporormiaceae,g:Preussia	k:Fungi	No hit
ASV24	SS|1.0000|UDB01357132|SH1211640.09FU;k:Fungi,p:Ascomycota	k:Fungi,p:Ascomycota	k:Fungi,p:Ascomycota	No hit
ASV25	GS|100.0|MH474534|SH1081296.09FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Sporormiaceae,g:Preussia,s:Preussia fleischhakii	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Sporormiaceae,g:Preussia,s:Preussia fleischhakii	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Sporormiaceae,g:Preussia,s:Preussia fleischhakii	No hit
ASV26	GS|73.6|EF469155|SH1164737.09FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Verrucariales,f:Verrucariaceae,g:Placidium,s:Placidium lacinulatum	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Verrucariales,f:Verrucariaceae,g:Placidium,s:Placidium lacinulatum	No hit	No hit
ASV27	GS|100.0|UDB02768926|SH0906733.09FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Lentitheciaceae	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Lentitheciaceae	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Lentitheciaceae	No hit
ASV28	GS|0.0|None;No hit	No hit	No hit	No hit
ASV29	GS|0.0|None;No hit	No hit	No hit	No hit
ASV30	GS|0.0|None;No hit	No hit	No hit	No hit
ASV31	GS|0.0|None;No hit	No hit	No hit	No hit
ASV32	GS|0.0|None;No hit	No hit	No hit	No hit
ASV33	GS|100.0|KF535949|SH1174631.09FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Amanitaceae,g:Amanita,s:Amanita exitialis	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Amanitaceae,g:Amanita,s:Amanita exitialis	No hit	No hit
ASV34	GS|0.0|None;No hit	No hit	No hit	No hit
ASV35	GS|100.0|AY956758|SH1301428.09FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Pleosporaceae,g:Alternaria,s:Alternaria chlamydosporigena	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Pleosporaceae,g:Alternaria,s:Alternaria chlamydosporigena	k:Fungi	No hit
ASV36	GS|100.0|OM281280|SH1010429.09FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Dothidotthiaceae,g:Dothidotthia,s:Dothidotthia symphoricarpi	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Dothidotthiaceae,g:Dothidotthia,s:Dothidotthia symphoricarpi	k:Fungi,p:Ascomycota,c:Dothideomycetes	No hit
ASV37	GS|98.8|KY706161|SH1105847.09FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Tricholomataceae,g:Omphalina,s:Omphalina pyxidata	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Tricholomataceae,g:Omphalina,s:Omphalina pyxidata	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Tricholomataceae,g:Omphalina,s:Omphalina pyxidata	No hit
ASV38	GS|0.0|None;No hit	No hit	No hit	No hit
ASV39	SS|0.8300|UDB04499492|SH1028256.09FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Phaeosphaeriaceae	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Phaeosphaeriaceae	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Phaeosphaeriaceae	No hit
ASV40	GS|0.0|None;No hit	No hit	No hit	No hit
ASV41	GSL|100.0|GU237884|SH0985300.09FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Didymellaceae,g:Macroventuria	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Didymellaceae,g:Macroventuria	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Didymellaceae	No hit
ASV42	GS|100.0|KF535949|SH1174631.09FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Amanitaceae,g:Amanita,s:Amanita exitialis	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Amanitaceae,g:Amanita,s:Amanita exitialis	No hit	No hit
ASV43	GS|0.0|None;No hit	No hit	No hit	No hit
ASV44	GS|0.0|None;No hit	No hit	No hit	No hit
ASV45	GS|0.0|None;No hit	No hit	No hit	No hit
ASV46	GS|0.0|None;No hit	No hit	No hit	No hit
ASV47	GS|0.0|None;No hit	No hit	No hit	No hit
ASV48	SS|1.0000|UDB03520802|SH1213958.09FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Hygrophoraceae	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Hygrophoraceae	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Hygrophoraceae	No hit
ASV49	GS|0.0|None;No hit	No hit	No hit	No hit
ASV50	GS|100.0|UDB02747015|SH1236340.09FU;k:Fungi,p:Ascomycota,c:Lecanoromycetes	k:Fungi,p:Ascomycota,c:Lecanoromycetes	k:Fungi,p:Ascomycota,c:Lecanoromycetes	No hit
ASV51	GS|100.0|MH474435|SH0985300.09FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Didymellaceae,g:Leptosphaerulina,s:Leptosphaerulina australis	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Didymellaceae,g:Leptosphaerulina,s:Leptosphaerulina australis	k:Fungi	No hit
ASV52	GS|0.0|None;No hit	No hit	No hit	No hit
ASV53	GSL|100.0|OK011805|SH0884485.09FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales,f:Aspergillaceae,g:Penicillium	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales,f:Aspergillaceae,g:Penicillium	k:Fungi	No hit
ASV54	GSL|100.0|KF861806|SH1188820.09FU;k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Filobasidiales,f:Filobasidiaceae,g:Naganishia	k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Filobasidiales,f:Filobasidiaceae,g:Naganishia	k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Filobasidiales,f:Filobasidiaceae,g:Naganishia	No hit
ASV55	GS|98.6|KF752700|SH1290672.09FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Xylariales,f:Diatrypaceae,g:Monosporascus	k:Fungi	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Xylariales,f:Diatrypaceae,g:Monosporascus	No hit
ASV56	GS|100.0|KF535949|SH1174631.09FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Amanitaceae,g:Amanita,s:Amanita exitialis	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Amanitaceae,g:Amanita,s:Amanita exitialis	k:Fungi	No hit
ASV57	GS|0.0|None;No hit	No hit	No hit	No hit
ASV58	GS|99.1|UDB04123402|SH1070645.09FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Herpotrichiellaceae,g:Coniosporium	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Herpotrichiellaceae,g:Coniosporium	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Herpotrichiellaceae,g:Coniosporium	No hit
ASV59	GS|0.0|None;No hit	No hit	No hit	No hit
ASV60	GS|0.0|None;No hit	No hit	No hit	No hit
ASV61	SS|1.0000|KC965206|SH1313735.09FU;k:Fungi	k:Fungi	k:Fungi	No hit
ASV62	GS|0.0|None;No hit	No hit	No hit	No hit
ASV63	GSL|100.0|MT850270|SH0919309.09FU;k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales,f:Sclerotiniaceae,g:Clarireedia,s:Clarireedia bennettii	k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales	k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales,f:Sclerotiniaceae,g:Clarireedia,s:Clarireedia bennettii	No hit
ASV64	GS|100.0|UDB0267395|SH1085475.09FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Sporormiaceae,g:Preussia	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Sporormiaceae,g:Preussia	k:Fungi	No hit
ASV65	SS|1.0000|UDB05847736|SH1111868.09FU;k:Fungi	k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales,f:Pyronemataceae	k:Fungi	No hit
ASV66	GS|0.0|None;No hit	No hit	No hit	No hit
ASV67	GS|0.0|None;No hit	No hit	No hit	No hit
ASV68	GS|0.0|None;No hit	No hit	No hit	No hit
ASV69	GS|79.6|MT199218|SH1083051.09FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales,f:Aspergillaceae,g:Aspergillus,s:Aspergillus sclerotiorum	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales,f:Aspergillaceae,g:Aspergillus,s:Aspergillus sclerotiorum	No hit	No hit
ASV70	GS|0.0|None;No hit	No hit	No hit	No hit
ASV71	GS|0.0|None;No hit	No hit	No hit	No hit
ASV72	SS|0.9900|KF028767|SH1072454.09FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Verrucariales,f:Verrucariaceae,g:Placidium,s:Placidium umbrinum	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales,f:Thermoascaceae,g:Byssochlamys	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Verrucariales,f:Verrucariaceae,g:Placidium,s:Placidium umbrinum	No hit
ASV73	GS|99.6|KY706161|SH1105847.09FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Tricholomataceae,g:Omphalina,s:Omphalina pyxidata	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Tricholomataceae,g:Omphalina,s:Omphalina pyxidata	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Tricholomataceae,g:Omphalina,s:Omphalina pyxidata	No hit
ASV74	GS|0.0|None;No hit	No hit	No hit	No hit
ASV75	GS|100.0|AY956758|SH1301428.09FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Pleosporaceae,g:Alternaria,s:Alternaria chlamydosporigena	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Pleosporaceae,g:Alternaria,s:Alternaria chlamydosporigena	k:Fungi	No hit
ASV76	GS|0.0|None;No hit	No hit	No hit	No hit
ASV77	GS|0.0|None;No hit	No hit	No hit	No hit
ASV78	GS|73.1|MF766368|SH1313502.09FU;k:Fungi,p:Ascomycota,c:Lichinomycetes,o:Lichinales,f:Peltulaceae,g:Peltula,s:Peltula patellata	k:Fungi,p:Ascomycota,c:Lichinomycetes,o:Lichinales,f:Peltulaceae,g:Peltula,s:Peltula patellata	No hit	No hit
ASV79	GS|0.0|None;No hit	No hit	No hit	No hit
ASV80	GS|98.0|UDB05097831|SH1049505.09FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Podosporaceae,g:Podospora	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Podosporaceae,g:Podospora	k:Fungi	No hit
ASV81	GS|100.0|UDB01513050|SH0978177.09FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Bezerromycetales,f:Bezerromycetaceae,g:Bezerromyces	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Bezerromycetales,f:Bezerromycetaceae,g:Bezerromyces	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Bezerromycetales,f:Bezerromycetaceae,g:Bezerromyces	No hit
ASV82	GS|0.0|None;No hit	No hit	No hit	No hit
ASV83	GS|0.0|None;No hit	No hit	No hit	No hit
ASV84	SS|1.0000|UDB04323391|SH1087253.09FU;k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales,f:Pezizaceae	k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales,f:Pezizaceae	k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales,f:Pezizaceae	No hit
ASV85	SS|1.0000|EU489977|SH1249741.09FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales	k:Fungi,p:Basidiomycota,c:Agaricomycetes	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales	No hit
ASV86	GS|0.0|None;No hit	No hit	No hit	No hit
ASV87	SS|0.8700|UDB05030740|SH1039362.09FU;k:Fungi,p:Ascomycota	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales	k:Fungi,p:Ascomycota	No hit
ASV88	GS|0.0|None;No hit	No hit	No hit	No hit
ASV89	GS|0.0|None;No hit	No hit	No hit	No hit
ASV90	SS|1.0000|UDB05097831|SH1049505.09FU;k:Fungi	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Podosporaceae,g:Podospora	k:Fungi	No hit
ASV91	GS|99.6|KC966059|SH1279203.09FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales	No hit
ASV92	GS|100.0|MW412520|SH1008656.09FU;k:Fungi,p:Basidiomycota,c:Microbotryomycetes,o:Sporidiobolales,f:Sporidiobolaceae,g:Rhodotorula	k:Fungi,p:Basidiomycota,c:Microbotryomycetes,o:Sporidiobolales,f:Sporidiobolaceae,g:Rhodotorula	k:Fungi,p:Basidiomycota,c:Microbotryomycetes,o:Sporidiobolales,f:Sporidiobolaceae,g:Rhodotorula	No hit
ASV93	SS|1.0000|EU489977|SH1249741.09FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales	k:Fungi,p:Basidiomycota,c:Agaricomycetes	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales	No hit
ASV94	SS|0.9200|MZ922179|SH1178778.09FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Verrucariales,f:Verrucariaceae	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Verrucariales,f:Verrucariaceae,g:Placidium,s:Placidium lacinulatum	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Verrucariales,f:Verrucariaceae	No hit
ASV95	GS|90.6|KF028767|SH1072454.09FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales,f:Thermoascaceae,g:Byssochlamys	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales,f:Thermoascaceae,g:Byssochlamys	No hit	No hit
ASV96	GS|97.1|KP963644|SH1073261.09FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales	No hit
ASV97	GS|99.4|LT592943|SH0985300.09FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Didymellaceae,g:Nothophoma,s:Nothophoma gossypiicola	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Didymellaceae,g:Nothophoma,s:Nothophoma gossypiicola	k:Fungi	No hit
ASV98	GS|0.0|None;No hit	No hit	No hit	No hit
ASV99	GS|0.0|None;No hit	No hit	No hit	No hit
ASV100	GS|0.0|None;No hit	No hit	No hit	No hit
ASV101	GS|0.0|None;No hit	No hit	No hit	No hit
ASV102	GS|0.0|None;No hit	No hit	No hit	No hit
ASV103	GS|0.0|None;No hit	No hit	No hit	No hit
ASV104	GS|0.0|None;No hit	No hit	No hit	No hit
ASV105	GS|99.0|KP963658|SH1301428.09FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Pleosporaceae,g:Alternaria	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Pleosporaceae,g:Alternaria	k:Fungi	No hit
ASV106	GS|0.0|None;No hit	No hit	No hit	No hit
ASV107	GS|0.0|None;No hit	No hit	No hit	No hit
ASV108	SS|1.0000|UDB01395691|SH1068455.09FU;k:Fungi,p:Ascomycota	k:Fungi,p:Ascomycota	k:Fungi,p:Ascomycota	No hit
ASV109	GS|0.0|None;No hit	No hit	No hit	No hit
ASV110	SS|1.0000|KF028767|SH1072454.09FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Verrucariales,f:Verrucariaceae,g:Placidium,s:Placidium umbrinum	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales,f:Thermoascaceae,g:Byssochlamys	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Verrucariales,f:Verrucariaceae,g:Placidium,s:Placidium umbrinum	No hit
ASV111	GSL|100.0|UDB06286928|SH0919309.09FU;k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales,f:Sclerotiniaceae,g:Clarireedia,s:Clarireedia bennettii	k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales	k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales,f:Sclerotiniaceae,g:Clarireedia,s:Clarireedia bennettii	No hit
ASV112	GS|93.8|KF028767|SH1072454.09FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales,f:Thermoascaceae,g:Byssochlamys	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales,f:Thermoascaceae,g:Byssochlamys	No hit	No hit
ASV113	GS|100.0|KF535949|SH1174631.09FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Amanitaceae,g:Amanita,s:Amanita exitialis	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Amanitaceae,g:Amanita,s:Amanita exitialis	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales	No hit
ASV114	SS|0.9000|AB073257|SH1008721.09FU;k:Fungi,p:Basidiomycota,c:Microbotryomycetes,o:Sporidiobolales,f:Sporidiobolaceae,g:Rhodotorula	k:Fungi,p:Basidiomycota,c:Microbotryomycetes,o:Sporidiobolales,f:Sporidiobolaceae,g:Rhodotorula	k:Fungi,p:Basidiomycota,c:Microbotryomycetes,o:Sporidiobolales,f:Sporidiobolaceae,g:Rhodotorula	No hit
ASV115	GS|0.0|None;No hit	No hit	No hit	No hit
ASV116	GSL|100.0|OM237060|SH1188866.09FU;k:Fungi,p:Basidiomycota	k:Fungi,p:Basidiomycota	k:Fungi	No hit
ASV117	GS|0.0|None;No hit	No hit	No hit	No hit
ASV118	GS|100.0|KC966059|SH1279203.09FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales	No hit
ASV119	GS|0.0|None;No hit	No hit	No hit	No hit
ASV120	GS|0.0|None;No hit	No hit	No hit	No hit
ASV121	GS|0.0|None;No hit	No hit	No hit	No hit
ASV122	GS|0.0|None;No hit	No hit	No hit	No hit
ASV123	GS|0.0|None;No hit	No hit	No hit	No hit
ASV124	GS|0.0|None;No hit	No hit	No hit	No hit
ASV125	GS|0.0|None;No hit	No hit	No hit	No hit
ASV126	GS|100.0|UDB01324292|SH1309797.09FU;k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales,f:Ascobolaceae,g:Ascobolus	k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales,f:Ascobolaceae,g:Ascobolus	k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales,f:Ascobolaceae,g:Ascobolus	No hit
ASV127	GS|0.0|None;No hit	No hit	No hit	No hit
ASV128	GS|100.0|UDB05003976|SH1028263.09FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales	No hit
ASV129	GS|0.0|None;No hit	No hit	No hit	No hit
ASV130	GS|0.0|None;No hit	No hit	No hit	No hit
ASV131	GS|0.0|None;No hit	No hit	No hit	No hit
ASV132	GS|0.0|None;No hit	No hit	No hit	No hit
ASV133	GS|0.0|None;No hit	No hit	No hit	No hit
ASV134	GS|0.0|None;No hit	No hit	No hit	No hit
ASV135	GS|0.0|None;No hit	No hit	No hit	No hit
ASV136	SS|0.8800|UDB05030740|SH1039362.09FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales	No hit
ASV137	GS|100.0|DQ865095|SH0992160.09FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Sporormiaceae,g:Preussia,s:Preussia africana	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Sporormiaceae,g:Preussia,s:Preussia africana	k:Fungi	No hit
ASV138	GS|99.6|UDB05329074|SH1167468.09FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Entolomataceae,g:Entoloma,s:Entoloma halophilum	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Entolomataceae,g:Entoloma	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Entolomataceae,g:Entoloma,s:Entoloma halophilum	No hit
ASV139	GS|0.0|None;No hit	No hit	No hit	No hit
ASV140	GS|0.0|None;No hit	No hit	No hit	No hit
ASV141	GSL|100.0|OK644453|SH1301428.09FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Pleosporaceae,g:Alternaria	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Pleosporaceae,g:Alternaria	k:Fungi	No hit
