#OTUID	taxonomy	USEARCH	SINTAX	UTAX
ASV12185	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12186	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12188	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12189	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12190	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12191	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12192	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12193	SS|1.0000|MZ922178|SH1330026.09FU;k:Fungi,p:Ascomycota,c:Lecanoromycetes,o:Peltigerales,f:Collemataceae,g:Scytinium	k:Fungi,p:Ascomycota,c:Lecanoromycetes,o:Peltigerales,f:Collemataceae,g:Scytinium	k:Fungi,p:Ascomycota,c:Lecanoromycetes,o:Peltigerales,f:Collemataceae,g:Scytinium	No hit
ASV12194	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12195	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12196	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12197	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12198	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12199	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12200	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12201	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12202	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12203	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12204	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12205	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12206	SS|1.0000|MT821179|SH0963653.09FU;k:Fungi,p:Ascomycota,c:Dothideomycetes	k:Fungi,p:Ascomycota	k:Fungi,p:Ascomycota,c:Dothideomycetes	No hit
ASV12207	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12208	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12210	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12211	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12212	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12213	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12214	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12215	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12216	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12217	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12218	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12219	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12220	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12221	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12222	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12223	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12225	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12226	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12227	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12228	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12229	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12230	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12231	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12232	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12233	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12234	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12235	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12237	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12238	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12239	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12240	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12241	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12242	GS|0.0|None;No hit	No hit	No hit	No hit
ASV12243	GS|0.0|None;No hit	No hit	No hit	No hit
