#OTU ID	SRR9106059	SRR9106060	SRR9106061	SRR9106062	SRR9106063	SRR9106064	SRR9106065	SRR9106066	SRR9106067	SRR9106068	SRR9106069	SRR9106070	SRR9106071	SRR9106072	SRR9106073	SRR9106074	SRR9106075	SRR9106076	SRR9106077	SRR9106078	SRR9106079	SRR9106080	SRR9106081	SRR9106082	SRR9106083	SRR9106084	SRR9106085	SRR9106086	SRR9106087	SRR9106088	SRR9106089	SRR9106090	SRR9106091	SRR9106092	SRR9106093	SRR9106094	SRR9106095	SRR9106096	SRR9106097	SRR9106098	SRR9106099	SRR9106100	SRR9106101	SRR9106102	SRR9106103	SRR9106104	SRR9106105	SRR9106106
OTU672	2	1	29	0	37	0	3	5	22	0	29	1	10	1	0	9	2	0	18	0	0	3	3	2	2	1	0	8	58	0	9	0	0	0	14	4	2	0	0	2	1	6	0	43	1	37	24	29
OTU673	0	2	12	0	29	0	0	0	0	0	3	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	26	17	0	16	0	0	0	11	10	2	0	0	2	0	10	0	61	0	1	263	7
OTU674	65	58	27	0	19	1	2	9	3	2	6	8	1	8	8	67	29	4	34	6	3	4	37	33	30	60	117	48	41	0	42	114	68	7	17	57	61	6	2	11	33	10	0	7	8	0	39	3
OTU675	5	9	4	0	14	4	0	8	3	4	7	25	1	12	6	8	2	0	9	4	4	2	11	28	35	42	16	0	6	0	2	10	10	1	6	17	0	21	5	4	18	1	6	7	32	12	27	8
OTU676	0	0	0	0	0	0	0	0	63	0	0	0	355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU677	4	7	23	0	17	6	4	4	4	0	17	10	11	2	0	37	4	0	31	1	8	4	8	3	4	6	8	21	49	2	9	0	7	0	20	5	4	2	7	6	9	13	0	13	7	11	25	12
OTU678	0	4	60	0	20	2	62	14	67	0	87	4	85	9	6	16	8	1	31	4	6	5	6	10	20	5	7	22	208	0	13	0	0	0	30	5	8	3	1	48	2	77	1	28	13	44	62	36
OTU679	0	13	35	0	62	4	1	6	5	4	11	10	3	1	2	27	13	4	34	17	5	3	22	10	13	7	14	12	65	1	15	5	8	2	37	20	10	8	4	0	13	1	6	16	26	11	71	10
OTU680	4	48	9	0	14	26	3	41	0	15	6	44	1	19	11	31	4	85	31	7	36	12	21	31	22	30	23	17	5	1	10	46	18	58	11	37	4	35	32	5	70	5	49	6	69	24	17	6
OTU681	0	0	25	0	27	21	9	7	21	1	50	9	13	2	1	12	3	0	23	2	2	1	5	6	0	2	2	7	81	0	1	0	4	0	18	3	1	1	6	5	2	8	1	1	2	4	30	22
OTU682	0	4	25	0	71	11	25	4	39	0	21	7	24	0	0	17	6	0	14	0	0	0	1	7	2	2	2	17	16	0	75	0	2	0	36	7	1	1	32	54	5	66	0	29	3	19	80	41
OTU683	7	0	9	0	19	0	4	0	3	0	5	0	0	0	0	64	0	0	7	0	0	1	0	0	0	0	0	21	11	0	39	0	24	3	8	1	128	0	0	0	0	0	0	2	0	5	27	3
OTU684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU685	0	0	0	0	20	0	8	0	10	0	5	0	5	0	0	13	0	0	0	0	0	0	0	0	0	0	0	7	0	0	15	0	50	853	84	0	12	0	0	10	0	10	0	0	0	4	53	0
OTU686	1	18	20	0	9	0	0	23	3	16	9	20	1	6	3	15	4	3	20	1	21	2	11	6	4	5	7	7	88	0	6	4	14	0	12	3	4	8	0	2	2	14	6	4	63	42	11	10
OTU687	6	9	0	0	0	0	0	1	0	0	0	0	0	0	0	5	7	249	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	7	61	0	13	0	0	0	0	0	0	4	0	0	0	0
OTU688	0	0	0	0	0	0	37	0	0	0	0	0	377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU690	0	0	4	0	64	4	71	0	50	1	0	0	74	0	1	30	4	0	6	1	0	0	1	0	0	4	1	3	0	0	7	0	24	0	34	2	0	0	5	36	1	76	0	0	0	10	43	5
OTU691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	369	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0
OTU692	4	10	13	0	31	2	8	3	0	17	18	1	4	8	4	13	2	6	34	8	6	10	13	26	11	4	11	19	31	1	27	6	21	1	18	8	2	1	11	17	1	1	0	3	1	3	45	3
OTU693	28	32	22	0	31	0	0	3	0	0	0	0	0	5	4	18	6	59	5	0	72	51	28	47	31	42	8	84	18	9	15	35	33	17	1	14	29	0	1	1	5	0	0	0	1	0	31	1
OTU694	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	9	309	0	0	2	5	0	2	0	0	2	0	0	0	0	0	4	6	0	0	0	0	4	3	0	7	3	0	2	0	0	1
OTU695	0	0	3	0	4	0	77	0	391	0	14	0	35	0	0	11	2	0	3	0	0	0	0	0	0	0	0	8	0	0	13	0	11	0	33	0	8	0	0	126	0	39	0	9	0	18	16	4
OTU696	16	238	13	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	4	0	3	21	1	0	0	0	0	0	0	3	124	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0
OTU697	0	0	26	0	16	1	0	6	0	2	2	3	0	36	11	6	0	0	87	6	2	11	11	2	18	12	1	8	79	1	0	0	0	1	1	1	0	2	7	0	4	0	10	23	1	4	4	3
OTU698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	465	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU699	10	23	13	0	7	0	0	3	1	5	3	0	0	20	0	4	3	0	4	2	35	69	5	9	7	3	1	43	109	15	28	0	3	1	0	1	7	3	0	0	0	0	0	0	0	4	10	0
OTU700	6	5	33	4	66	12	0	2	0	2	0	2	0	13	0	6	16	11	5	25	49	8	1	35	8	0	7	41	2	0	11	0	25	4	1	5	2	0	13	0	20	6	10	0	2	0	6	0
OTU701	0	1	31	0	31	4	1	12	5	0	21	27	7	2	3	19	7	0	13	0	3	0	19	8	2	43	23	41	22	0	3	0	0	0	22	8	0	6	0	0	6	8	0	1	18	14	36	9
OTU702	0	5	15	0	79	1	30	2	35	0	38	0	40	0	1	33	1	0	39	1	0	2	4	4	4	7	3	26	35	0	31	3	27	3	47	7	10	0	4	13	3	38	0	48	0	45	53	49
OTU703	71	94	44	0	30	1	8	3	160	6	16	6	5	28	4	27	7	45	73	0	54	81	9	20	72	9	14	87	105	20	72	15	33	35	12	11	95	7	1	1	2	4	1	17	8	11	64	5
OTU704	23	7	31	0	28	0	13	0	7	0	27	0	10	0	0	82	0	11	30	4	2	1	2	5	3	2	0	35	132	0	35	5	167	22	36	1	182	0	0	7	1	18	0	6	2	70	38	15
OTU705	3	7	22	0	18	6	15	8	6	3	8	12	16	2	4	20	8	2	14	1	2	2	8	8	9	22	10	23	29	0	10	2	8	3	24	12	12	4	9	9	21	6	0	11	13	10	32	12
OTU706	2	2	36	0	136	1	75	11	45	2	209	3	67	4	0	44	5	0	18	11	3	0	1	9	11	2	9	56	263	0	40	0	107	0	111	13	26	4	1	49	2	54	2	140	11	90	115	57
OTU707	1	7	19	0	24	8	3	10	1	6	4	17	5	9	8	16	10	0	20	8	1	1	43	39	24	103	46	19	35	0	10	36	16	0	19	26	1	13	25	9	23	6	18	28	43	15	28	12
OTU708	18	1	8	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	295	2	1	19	3	2	6	1	2	3	0	4	1	0	2	2	0	3	5	1	0	0	0	0	0	0	2	0	12	17
OTU710	0	285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU711	46	168	8	0	11	2	0	0	0	2	0	0	0	3	0	9	6	7	24	5	39	1	2	165	77	5	1	25	0	0	31	60	11	8	4	2	18	2	0	0	1	0	4	1	0	0	3	1
OTU712	0	13	493	0	133	0	73	11	155	0	817	0	81	0	7	191	11	0	58	9	10	0	16	21	0	20	16	130	143	1	75	11	97	5	200	25	44	0	0	251	7	43	0	62	0	257	115	40
OTU713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	315	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0
OTU714	0	3	44	0	61	1	16	9	11	0	32	3	16	2	1	8	2	0	20	0	2	1	5	7	8	3	3	4	24	0	20	0	0	1	42	22	0	0	2	25	4	20	0	39	6	18	56	23
OTU715	0	10	44	0	39	0	2	0	2	0	8	0	4	2	0	17	1	1	17	0	50	15	4	17	4	1	1	178	56	6	34	0	0	0	23	16	2	0	0	1	0	1	0	14	3	3	64	9
OTU716	34	15	11	0	2	0	0	34	0	0	0	2	0	1	1	0	0	0	44	1	3	48	5	3	30	16	2	24	4	4	3	0	1	0	0	0	16	4	0	0	2	0	0	0	5	0	16	2
OTU717	0	0	0	0	25	8	13	0	5	0	14	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	56	4	342	0	20	0	10	180	18
OTU718	7	17	2	0	2	93	5	6	1	3	1	10	6	9	6	9	3	81	41	1	18	10	13	18	4	6	6	13	0	1	1	37	8	9	7	12	3	8	19	4	106	5	27	0	34	12	6	7
OTU719	0	0	3	0	0	0	0	26	0	3	1	9	0	16	3	1	4	1	1	6	1	0	1	17	2	4	13	3	2	0	0	0	1	0	2	21	0	5	2	0	19	2	60	0	99	72	2	1
OTU720	1	4	40	0	27	7	50	4	122	1	75	0	23	6	2	20	0	0	27	2	3	11	4	4	5	2	1	22	179	1	39	3	68	0	15	13	2	4	30	45	5	72	1	60	8	22	42	68
OTU721	0	0	8	0	17	2	14	0	21	0	21	0	14	0	0	17	4	0	4	2	0	0	0	0	2	0	1	11	30	1	45	0	20	0	65	4	8	0	0	28	0	26	0	2	0	7	30	13
OTU722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	329	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU723	0	0	0	0	7	0	383	0	53	0	25	0	38	0	0	7	0	0	124	0	0	0	0	0	0	0	0	0	7	0	27	0	4	0	20	0	0	0	0	68	0	87	0	6	0	14	6	10
OTU724	4	6	12	0	18	0	2	23	11	3	26	7	10	3	1	12	0	6	14	3	0	1	2	6	6	4	9	9	45	3	13	5	3	4	20	7	15	2	0	3	7	20	1	17	4	27	18	5
OTU725	11	3	0	2	0	371	0	6	0	0	0	0	0	0	0	4	10	4	0	0	19	3	0	8	23	0	0	0	5	0	0	8	24	0	4	0	0	4	29	0	29	0	6	0	204	2	0	0
OTU726	79	177	73	0	95	2	4	13	22	3	4	15	3	81	13	47	27	127	116	16	82	99	56	80	172	68	42	121	133	21	62	101	52	112	26	32	140	12	20	7	20	4	8	20	19	12	153	1
OTU727	0	4	66	0	62	1	5	9	22	2	34	2	32	7	4	26	3	0	39	0	0	4	4	3	24	6	0	13	66	0	17	0	3	0	26	11	0	4	6	67	5	47	1	24	9	28	68	23
OTU728	2	5	77	0	59	1	6	1	30	1	71	1	13	2	1	25	4	0	36	1	13	16	7	5	13	2	1	14	94	1	36	0	0	0	25	13	6	0	0	5	0	9	0	81	2	50	92	17
OTU729	0	5	1	0	13	1	0	12	0	3	0	4	0	8	6	15	21	0	2	5	0	7	15	32	9	40	39	6	0	2	1	0	0	0	11	31	0	5	3	1	41	1	10	0	11	21	42	2
OTU730	3	63	48	0	34	3	0	34	0	30	1	11	0	59	41	69	22	11	170	52	60	76	44	31	57	32	46	44	66	12	26	16	31	6	18	37	4	33	15	0	28	8	26	0	41	41	36	3
OTU731	0	1	5	0	9	3	26	0	27	0	6	1	63	0	0	8	0	0	1	0	0	0	0	0	0	0	0	9	6	0	10	0	21	0	12	1	3	0	3	57	2	32	0	1	0	4	31	7
OTU732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	344	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU733	0	0	8	28	16	1	0	32	246	1	78	1	8	4	0	5	2	1	0	3	8	0	0	3	10	0	3	0	8	0	3	0	0	3	32	4	0	0	0	18	0	5	12	69	20	126	13	83
OTU734	0	8	51	0	67	0	3	5	1	5	16	1	1	19	4	8	1	1	109	5	8	77	10	33	181	35	6	14	20	4	1	0	1	25	11	19	1	2	3	1	9	0	7	4	13	3	63	1
OTU735	2	4	19	0	27	5	4	18	2	5	20	14	0	21	3	12	6	1	10	7	7	6	10	19	28	6	14	1	67	1	9	0	13	0	22	10	7	12	0	6	12	6	4	44	17	7	66	2
OTU736	33	47	112	0	80	38	45	24	46	7	60	30	34	21	8	127	45	14	128	17	11	10	16	39	32	35	33	64	124	3	72	21	97	20	89	12	29	3	31	21	25	30	22	24	64	62	109	31
OTU737	7	18	6	0	34	10	0	34	1	3	7	60	3	7	4	36	9	14	28	12	12	2	27	48	28	58	24	18	32	0	18	41	27	7	21	45	6	25	6	0	41	7	2	14	24	8	30	3
OTU738	3	12	67	0	73	3	18	10	15	6	53	6	7	1	2	38	10	0	48	10	15	8	13	14	15	8	9	32	137	3	63	0	8	0	40	8	3	7	4	27	3	38	0	58	14	38	54	17
OTU739	0	1	59	0	31	0	11	0	15	0	8	0	11	0	1	17	0	0	14	0	0	0	0	0	0	0	0	29	53	0	27	0	31	0	45	6	5	0	0	37	0	8	0	6	0	13	51	17
OTU740	0	1	37	0	14	0	18	0	15	1	35	0	8	0	1	8	2	0	28	0	1	0	0	0	0	0	0	2	21	1	41	0	1	0	5	2	0	0	0	42	0	7	0	32	1	65	25	15
OTU741	0	1	29	0	32	2	2	11	2	1	17	3	4	7	2	7	6	0	11	6	5	5	6	2	3	7	9	9	81	1	10	0	3	0	24	4	0	1	4	4	7	3	6	9	5	12	34	5
OTU742	24	29	24	0	57	0	0	0	3	0	3	0	0	0	0	68	0	0	16	0	5	3	0	13	30	4	0	75	39	0	57	0	5	0	2	21	49	0	0	0	0	0	0	3	0	0	109	1
OTU743	1	4	26	0	30	7	3	4	5	1	12	3	7	6	1	13	6	1	13	5	2	0	7	4	0	2	5	7	67	0	3	0	3	0	33	4	2	2	22	8	8	8	3	48	5	8	22	13
