	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV1	NA	NA	NA	NA	NA	NA	NA
ASV2	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV3	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	NA	NA
ASV4	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Leptosphaerulina	Leptosphaerulina australis
ASV5	Fungi	Ascomycota	Eurotiomycetes	Verrucariales	Verrucariaceae	NA	NA
ASV6	NA	NA	NA	NA	NA	NA	NA
ASV7	NA	NA	NA	NA	NA	NA	NA
ASV8	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	NA	NA
ASV9	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Omphalina	Omphalina pyxidata
ASV10	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Entoloma	Entoloma halophilum
ASV11	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Macroventuria	NA
ASV12	NA	NA	NA	NA	NA	NA	NA
ASV13	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV14	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
ASV15	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV16	NA	NA	NA	NA	NA	NA	NA
ASV17	NA	NA	NA	NA	NA	NA	NA
ASV18	NA	NA	NA	NA	NA	NA	NA
ASV19	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	NA	NA
ASV20	NA	NA	NA	NA	NA	NA	NA
ASV21	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus sclerotiorum
ASV22	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodotorula	Rhodotorula mucilaginosa
ASV23	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	NA
ASV24	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV25	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	Preussia fleischhakii
ASV26	Fungi	Ascomycota	Eurotiomycetes	Verrucariales	Verrucariaceae	Placidium	Placidium lacinulatum
ASV27	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lentitheciaceae	NA	NA
ASV28	NA	NA	NA	NA	NA	NA	NA
ASV29	NA	NA	NA	NA	NA	NA	NA
ASV30	NA	NA	NA	NA	NA	NA	NA
ASV31	NA	NA	NA	NA	NA	NA	NA
ASV32	NA	NA	NA	NA	NA	NA	NA
ASV33	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV34	NA	NA	NA	NA	NA	NA	NA
ASV35	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria chlamydosporigena
ASV36	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Dothidotthiaceae	Dothidotthia	Dothidotthia symphoricarpi
ASV37	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Omphalina	Omphalina pyxidata
ASV38	NA	NA	NA	NA	NA	NA	NA
ASV39	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	NA	NA
ASV40	NA	NA	NA	NA	NA	NA	NA
ASV41	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Macroventuria	NA
ASV42	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV43	NA	NA	NA	NA	NA	NA	NA
ASV44	NA	NA	NA	NA	NA	NA	NA
ASV45	NA	NA	NA	NA	NA	NA	NA
ASV46	NA	NA	NA	NA	NA	NA	NA
ASV47	NA	NA	NA	NA	NA	NA	NA
ASV48	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	NA	NA
ASV49	NA	NA	NA	NA	NA	NA	NA
ASV50	Fungi	Ascomycota	Lecanoromycetes	NA	NA	NA	NA
ASV51	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Leptosphaerulina	Leptosphaerulina australis
ASV52	NA	NA	NA	NA	NA	NA	NA
ASV53	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	NA
ASV54	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Naganishia	NA
ASV55	Fungi	Ascomycota	Sordariomycetes	Xylariales	Diatrypaceae	Monosporascus	NA
ASV56	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV57	NA	NA	NA	NA	NA	NA	NA
ASV58	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Coniosporium	NA
ASV59	NA	NA	NA	NA	NA	NA	NA
ASV60	NA	NA	NA	NA	NA	NA	NA
ASV61	Fungi	NA	NA	NA	NA	NA	NA
ASV62	NA	NA	NA	NA	NA	NA	NA
ASV63	Fungi	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Clarireedia	Clarireedia bennettii
ASV64	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	NA
ASV65	Fungi	NA	NA	NA	NA	NA	NA
ASV66	NA	NA	NA	NA	NA	NA	NA
ASV67	NA	NA	NA	NA	NA	NA	NA
ASV68	NA	NA	NA	NA	NA	NA	NA
ASV69	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus sclerotiorum
ASV70	NA	NA	NA	NA	NA	NA	NA
ASV71	NA	NA	NA	NA	NA	NA	NA
ASV72	Fungi	Ascomycota	Eurotiomycetes	Verrucariales	Verrucariaceae	Placidium	Placidium umbrinum
ASV73	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Omphalina	Omphalina pyxidata
ASV74	NA	NA	NA	NA	NA	NA	NA
ASV75	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria chlamydosporigena
ASV76	NA	NA	NA	NA	NA	NA	NA
ASV77	NA	NA	NA	NA	NA	NA	NA
ASV78	Fungi	Ascomycota	Lichinomycetes	Lichinales	Peltulaceae	Peltula	Peltula patellata
ASV79	NA	NA	NA	NA	NA	NA	NA
ASV80	Fungi	Ascomycota	Sordariomycetes	Sordariales	Podosporaceae	Podospora	NA
ASV81	Fungi	Ascomycota	Dothideomycetes	Bezerromycetales	Bezerromycetaceae	Bezerromyces	NA
ASV82	NA	NA	NA	NA	NA	NA	NA
ASV83	NA	NA	NA	NA	NA	NA	NA
ASV84	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	NA	NA
ASV85	Fungi	Basidiomycota	Agaricomycetes	Agaricales	NA	NA	NA
ASV86	NA	NA	NA	NA	NA	NA	NA
ASV87	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV88	NA	NA	NA	NA	NA	NA	NA
ASV89	NA	NA	NA	NA	NA	NA	NA
ASV90	Fungi	NA	NA	NA	NA	NA	NA
ASV91	Fungi	Basidiomycota	Agaricomycetes	Agaricales	NA	NA	NA
ASV92	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodotorula	NA
ASV93	Fungi	Basidiomycota	Agaricomycetes	Agaricales	NA	NA	NA
ASV94	Fungi	Ascomycota	Eurotiomycetes	Verrucariales	Verrucariaceae	NA	NA
ASV95	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Thermoascaceae	Byssochlamys	NA
ASV96	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
ASV97	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Nothophoma	Nothophoma gossypiicola
ASV98	NA	NA	NA	NA	NA	NA	NA
ASV99	NA	NA	NA	NA	NA	NA	NA
ASV100	NA	NA	NA	NA	NA	NA	NA
ASV101	NA	NA	NA	NA	NA	NA	NA
ASV102	NA	NA	NA	NA	NA	NA	NA
ASV103	NA	NA	NA	NA	NA	NA	NA
ASV104	NA	NA	NA	NA	NA	NA	NA
ASV105	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	NA
ASV106	NA	NA	NA	NA	NA	NA	NA
ASV107	NA	NA	NA	NA	NA	NA	NA
ASV108	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV109	NA	NA	NA	NA	NA	NA	NA
ASV110	Fungi	Ascomycota	Eurotiomycetes	Verrucariales	Verrucariaceae	Placidium	Placidium umbrinum
ASV111	Fungi	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Clarireedia	Clarireedia bennettii
ASV112	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Thermoascaceae	Byssochlamys	NA
ASV113	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV114	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodotorula	NA
ASV115	NA	NA	NA	NA	NA	NA	NA
ASV116	Fungi	Basidiomycota	NA	NA	NA	NA	NA
ASV117	NA	NA	NA	NA	NA	NA	NA
ASV118	Fungi	Basidiomycota	Agaricomycetes	Agaricales	NA	NA	NA
ASV119	NA	NA	NA	NA	NA	NA	NA
ASV120	NA	NA	NA	NA	NA	NA	NA
ASV121	NA	NA	NA	NA	NA	NA	NA
ASV122	NA	NA	NA	NA	NA	NA	NA
ASV123	NA	NA	NA	NA	NA	NA	NA
ASV124	NA	NA	NA	NA	NA	NA	NA
ASV125	NA	NA	NA	NA	NA	NA	NA
ASV126	Fungi	Ascomycota	Pezizomycetes	Pezizales	Ascobolaceae	Ascobolus	NA
ASV127	NA	NA	NA	NA	NA	NA	NA
ASV128	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV129	NA	NA	NA	NA	NA	NA	NA
ASV130	NA	NA	NA	NA	NA	NA	NA
ASV131	NA	NA	NA	NA	NA	NA	NA
ASV132	NA	NA	NA	NA	NA	NA	NA
ASV133	NA	NA	NA	NA	NA	NA	NA
ASV134	NA	NA	NA	NA	NA	NA	NA
ASV135	NA	NA	NA	NA	NA	NA	NA
ASV136	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV137	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	Preussia africana
ASV138	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Entoloma	Entoloma halophilum
ASV139	NA	NA	NA	NA	NA	NA	NA
ASV140	NA	NA	NA	NA	NA	NA	NA
ASV141	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	NA
ASV142	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV143	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV144	Fungi	Ascomycota	Sordariomycetes	Hypocreales	NA	NA	NA
ASV145	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Coniosporium	NA
ASV146	NA	NA	NA	NA	NA	NA	NA
ASV147	NA	NA	NA	NA	NA	NA	NA
ASV148	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	NA	NA
ASV149	NA	NA	NA	NA	NA	NA	NA
ASV150	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Chaetosphaeronema	NA
ASV151	NA	NA	NA	NA	NA	NA	NA
ASV152	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV153	NA	NA	NA	NA	NA	NA	NA
ASV154	NA	NA	NA	NA	NA	NA	NA
ASV155	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV156	NA	NA	NA	NA	NA	NA	NA
ASV157	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	NA
ASV158	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
ASV159	NA	NA	NA	NA	NA	NA	NA
ASV160	NA	NA	NA	NA	NA	NA	NA
ASV161	NA	NA	NA	NA	NA	NA	NA
ASV162	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV163	Fungi	NA	NA	NA	NA	NA	NA
ASV164	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	NA
ASV165	NA	NA	NA	NA	NA	NA	NA
ASV166	NA	NA	NA	NA	NA	NA	NA
ASV167	NA	NA	NA	NA	NA	NA	NA
ASV168	NA	NA	NA	NA	NA	NA	NA
ASV169	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
ASV170	NA	NA	NA	NA	NA	NA	NA
ASV171	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	Neophaeococcomyces	NA
ASV172	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
ASV173	NA	NA	NA	NA	NA	NA	NA
ASV174	NA	NA	NA	NA	NA	NA	NA
ASV175	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Thermoascaceae	Byssochlamys	NA
ASV176	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	Neophaeococcomyces	NA
ASV177	NA	NA	NA	NA	NA	NA	NA
ASV178	NA	NA	NA	NA	NA	NA	NA
ASV179	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	Neophaeococcomyces	NA
ASV180	NA	NA	NA	NA	NA	NA	NA
ASV181	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	Preussia fleischhakii
ASV182	NA	NA	NA	NA	NA	NA	NA
ASV183	Fungi	Ascomycota	Sordariomycetes	Sordariales	Podosporaceae	Podospora	NA
ASV184	NA	NA	NA	NA	NA	NA	NA
ASV185	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Entoloma	Entoloma halophilum
ASV186	NA	NA	NA	NA	NA	NA	NA
ASV187	NA	NA	NA	NA	NA	NA	NA
ASV188	NA	NA	NA	NA	NA	NA	NA
ASV189	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Thermoascaceae	Byssochlamys	NA
ASV190	Fungi	NA	NA	NA	NA	NA	NA
ASV191	Fungi	Ascomycota	Lecanoromycetes	NA	NA	NA	NA
ASV192	NA	NA	NA	NA	NA	NA	NA
ASV193	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	NA
ASV194	NA	NA	NA	NA	NA	NA	NA
ASV195	Fungi	NA	NA	NA	NA	NA	NA
ASV196	NA	NA	NA	NA	NA	NA	NA
ASV197	NA	NA	NA	NA	NA	NA	NA
ASV198	NA	NA	NA	NA	NA	NA	NA
ASV199	NA	NA	NA	NA	NA	NA	NA
ASV200	NA	NA	NA	NA	NA	NA	NA
ASV201	NA	NA	NA	NA	NA	NA	NA
ASV202	NA	NA	NA	NA	NA	NA	NA
ASV203	NA	NA	NA	NA	NA	NA	NA
ASV204	NA	NA	NA	NA	NA	NA	NA
ASV205	NA	NA	NA	NA	NA	NA	NA
ASV206	NA	NA	NA	NA	NA	NA	NA
ASV207	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV208	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Scutellinia	NA
ASV209	NA	NA	NA	NA	NA	NA	NA
ASV210	NA	NA	NA	NA	NA	NA	NA
ASV211	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Oedocephalum	NA
ASV212	Rhizaria	Cercozoa	NA	NA	NA	NA	NA
ASV213	Fungi	NA	NA	NA	NA	NA	NA
ASV214	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	NA
ASV215	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV216	NA	NA	NA	NA	NA	NA	NA
ASV217	NA	NA	NA	NA	NA	NA	NA
ASV218	NA	NA	NA	NA	NA	NA	NA
ASV219	NA	NA	NA	NA	NA	NA	NA
ASV220	NA	NA	NA	NA	NA	NA	NA
ASV221	NA	NA	NA	NA	NA	NA	NA
ASV222	NA	NA	NA	NA	NA	NA	NA
ASV223	NA	NA	NA	NA	NA	NA	NA
ASV224	NA	NA	NA	NA	NA	NA	NA
ASV225	NA	NA	NA	NA	NA	NA	NA
ASV226	NA	NA	NA	NA	NA	NA	NA
ASV227	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Coniosporium	NA
ASV228	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	NA
ASV229	NA	NA	NA	NA	NA	NA	NA
ASV230	NA	NA	NA	NA	NA	NA	NA
ASV231	Fungi	Ascomycota	Leotiomycetes	Helotiales	Dermateaceae	Neofabraea	NA
ASV232	NA	NA	NA	NA	NA	NA	NA
ASV233	NA	NA	NA	NA	NA	NA	NA
ASV234	NA	NA	NA	NA	NA	NA	NA
ASV235	Fungi	Ascomycota	Pezizomycetes	Pezizales	Sarcosomataceae	NA	NA
ASV236	NA	NA	NA	NA	NA	NA	NA
ASV237	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	NA
ASV238	Fungi	Basidiomycota	Cystobasidiomycetes	Cystobasidiales	Cystobasidiaceae	Cystobasidium	Cystobasidium raffinophilum
ASV239	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	NA
ASV240	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV241	NA	NA	NA	NA	NA	NA	NA
ASV242	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	NA	NA
ASV243	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Phoma	NA
ASV244	NA	NA	NA	NA	NA	NA	NA
ASV245	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	NA
ASV246	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV247	NA	NA	NA	NA	NA	NA	NA
ASV248	NA	NA	NA	NA	NA	NA	NA
ASV249	NA	NA	NA	NA	NA	NA	NA
ASV250	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	NA
ASV251	NA	NA	NA	NA	NA	NA	NA
ASV252	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	NA
ASV253	NA	NA	NA	NA	NA	NA	NA
ASV254	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Xenodidymella	NA
ASV255	NA	NA	NA	NA	NA	NA	NA
ASV256	NA	NA	NA	NA	NA	NA	NA
ASV257	NA	NA	NA	NA	NA	NA	NA
ASV258	NA	NA	NA	NA	NA	NA	NA
ASV259	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV260	Fungi	NA	NA	NA	NA	NA	NA
ASV261	NA	NA	NA	NA	NA	NA	NA
ASV262	NA	NA	NA	NA	NA	NA	NA
ASV263	NA	NA	NA	NA	NA	NA	NA
ASV264	NA	NA	NA	NA	NA	NA	NA
ASV265	NA	NA	NA	NA	NA	NA	NA
ASV266	NA	NA	NA	NA	NA	NA	NA
ASV267	NA	NA	NA	NA	NA	NA	NA
ASV268	NA	NA	NA	NA	NA	NA	NA
ASV269	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Thermoascaceae	Byssochlamys	NA
ASV270	NA	NA	NA	NA	NA	NA	NA
ASV271	NA	NA	NA	NA	NA	NA	NA
ASV272	NA	NA	NA	NA	NA	NA	NA
ASV273	NA	NA	NA	NA	NA	NA	NA
ASV274	NA	NA	NA	NA	NA	NA	NA
ASV275	NA	NA	NA	NA	NA	NA	NA
ASV276	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	NA	NA
ASV277	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV278	NA	NA	NA	NA	NA	NA	NA
ASV279	NA	NA	NA	NA	NA	NA	NA
ASV280	NA	NA	NA	NA	NA	NA	NA
ASV281	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV282	NA	NA	NA	NA	NA	NA	NA
ASV283	NA	NA	NA	NA	NA	NA	NA
ASV284	Fungi	Ascomycota	Sordariomycetes	Xylariales	Diatrypaceae	Monosporascus	NA
ASV285	NA	NA	NA	NA	NA	NA	NA
ASV286	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Thermoascaceae	Byssochlamys	NA
ASV287	NA	NA	NA	NA	NA	NA	NA
ASV288	Fungi	Ascomycota	Sordariomycetes	NA	NA	NA	NA
ASV289	NA	NA	NA	NA	NA	NA	NA
ASV290	Fungi	Ascomycota	Dothideomycetes	Capnodiales	NA	NA	NA
ASV291	NA	NA	NA	NA	NA	NA	NA
ASV292	NA	NA	NA	NA	NA	NA	NA
ASV293	NA	NA	NA	NA	NA	NA	NA
ASV294	NA	NA	NA	NA	NA	NA	NA
ASV295	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV296	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	Pleiochaeta	NA
ASV297	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	NA	NA
ASV298	Fungi	Ascomycota	Pezizomycetes	Pezizales	NA	Trichobolus	NA
ASV299	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Thermoascaceae	Byssochlamys	NA
ASV300	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	NA	NA
ASV301	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV302	NA	NA	NA	NA	NA	NA	NA
ASV303	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV304	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV305	NA	NA	NA	NA	NA	NA	NA
ASV306	NA	NA	NA	NA	NA	NA	NA
ASV307	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	NA
ASV308	NA	NA	NA	NA	NA	NA	NA
ASV309	NA	NA	NA	NA	NA	NA	NA
ASV310	NA	NA	NA	NA	NA	NA	NA
ASV311	NA	NA	NA	NA	NA	NA	NA
ASV312	NA	NA	NA	NA	NA	NA	NA
ASV313	NA	NA	NA	NA	NA	NA	NA
ASV314	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV315	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
ASV316	NA	NA	NA	NA	NA	NA	NA
ASV317	NA	NA	NA	NA	NA	NA	NA
ASV318	NA	NA	NA	NA	NA	NA	NA
ASV319	NA	NA	NA	NA	NA	NA	NA
ASV320	NA	NA	NA	NA	NA	NA	NA
ASV321	NA	NA	NA	NA	NA	NA	NA
ASV322	NA	NA	NA	NA	NA	NA	NA
ASV323	NA	NA	NA	NA	NA	NA	NA
ASV324	NA	NA	NA	NA	NA	NA	NA
ASV325	NA	NA	NA	NA	NA	NA	NA
ASV326	NA	NA	NA	NA	NA	NA	NA
ASV327	NA	NA	NA	NA	NA	NA	NA
ASV328	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Naganishia	Naganishia globosa
ASV329	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA
ASV330	NA	NA	NA	NA	NA	NA	NA
ASV331	NA	NA	NA	NA	NA	NA	NA
ASV332	NA	NA	NA	NA	NA	NA	NA
ASV333	Fungi	NA	NA	NA	NA	NA	NA
ASV334	NA	NA	NA	NA	NA	NA	NA
ASV335	NA	NA	NA	NA	NA	NA	NA
ASV336	NA	NA	NA	NA	NA	NA	NA
ASV337	NA	NA	NA	NA	NA	NA	NA
ASV338	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Phaeodothis	NA
ASV339	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Naganishia	Naganishia randhawae
ASV340	NA	NA	NA	NA	NA	NA	NA
ASV341	NA	NA	NA	NA	NA	NA	NA
ASV342	NA	NA	NA	NA	NA	NA	NA
ASV343	NA	NA	NA	NA	NA	NA	NA
ASV344	NA	NA	NA	NA	NA	NA	NA
ASV345	NA	NA	NA	NA	NA	NA	NA
ASV346	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	NA	NA
ASV347	NA	NA	NA	NA	NA	NA	NA
ASV348	NA	NA	NA	NA	NA	NA	NA
ASV349	NA	NA	NA	NA	NA	NA	NA
ASV350	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodotorula	NA
ASV351	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	NA
ASV352	NA	NA	NA	NA	NA	NA	NA
ASV353	NA	NA	NA	NA	NA	NA	NA
ASV354	NA	NA	NA	NA	NA	NA	NA
ASV355	NA	NA	NA	NA	NA	NA	NA
ASV356	NA	NA	NA	NA	NA	NA	NA
ASV357	Fungi	Basidiomycota	Agaricomycetes	Corticiales	Corticiaceae	Laetisaria	NA
ASV358	NA	NA	NA	NA	NA	NA	NA
ASV359	NA	NA	NA	NA	NA	NA	NA
ASV360	Fungi	Basidiomycota	Agaricomycetes	Corticiales	Corticiaceae	Laetisaria	NA
ASV361	NA	NA	NA	NA	NA	NA	NA
ASV362	NA	NA	NA	NA	NA	NA	NA
ASV363	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Pseudotricharina	NA
ASV364	NA	NA	NA	NA	NA	NA	NA
ASV365	Fungi	Ascomycota	Dothideomycetes	Venturiales	Sympoventuriaceae	NA	NA
ASV366	NA	NA	NA	NA	NA	NA	NA
ASV367	NA	NA	NA	NA	NA	NA	NA
ASV368	Fungi	Basidiomycota	Agaricomycetes	Corticiales	Corticiaceae	Laetisaria	NA
ASV369	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV370	NA	NA	NA	NA	NA	NA	NA
ASV371	NA	NA	NA	NA	NA	NA	NA
ASV372	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	NA
ASV373	NA	NA	NA	NA	NA	NA	NA
ASV374	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Sporormia	NA
ASV375	NA	NA	NA	NA	NA	NA	NA
ASV376	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	NA	NA
ASV377	NA	NA	NA	NA	NA	NA	NA
ASV378	NA	NA	NA	NA	NA	NA	NA
ASV379	NA	NA	NA	NA	NA	NA	NA
ASV380	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodotorula	Rhodotorula graminis
ASV381	Fungi	Ascomycota	Sordariomycetes	Coniochaetales	NA	NA	NA
ASV382	NA	NA	NA	NA	NA	NA	NA
ASV383	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Coniosporium	Coniosporium apollinis
ASV385	NA	NA	NA	NA	NA	NA	NA
ASV386	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Thyrostroma	Thyrostroma cornicola
ASV387	NA	NA	NA	NA	NA	NA	NA
ASV388	NA	NA	NA	NA	NA	NA	NA
ASV389	NA	NA	NA	NA	NA	NA	NA
