	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV2147	NA	NA	NA	NA	NA	NA	NA
ASV2148	NA	NA	NA	NA	NA	NA	NA
ASV2149	NA	NA	NA	NA	NA	NA	NA
ASV2150	NA	NA	NA	NA	NA	NA	NA
ASV2151	NA	NA	NA	NA	NA	NA	NA
ASV2152	NA	NA	NA	NA	NA	NA	NA
ASV2153	NA	NA	NA	NA	NA	NA	NA
ASV2154	NA	NA	NA	NA	NA	NA	NA
ASV2155	NA	NA	NA	NA	NA	NA	NA
ASV2156	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	NA	NA
ASV2157	Fungi	Ascomycota	Dothideomycetes	NA	NA	Catenulomyces	Catenulomyces convolutus
ASV2158	NA	NA	NA	NA	NA	NA	NA
ASV2159	NA	NA	NA	NA	NA	NA	NA
ASV2160	NA	NA	NA	NA	NA	NA	NA
ASV2161	NA	NA	NA	NA	NA	NA	NA
ASV2162	NA	NA	NA	NA	NA	NA	NA
ASV2163	NA	NA	NA	NA	NA	NA	NA
ASV2164	NA	NA	NA	NA	NA	NA	NA
ASV2165	NA	NA	NA	NA	NA	NA	NA
ASV2166	NA	NA	NA	NA	NA	NA	NA
ASV2167	NA	NA	NA	NA	NA	NA	NA
ASV2168	NA	NA	NA	NA	NA	NA	NA
ASV2169	NA	NA	NA	NA	NA	NA	NA
ASV2170	Fungi	Basidiomycota	NA	NA	NA	NA	NA
ASV2171	NA	NA	NA	NA	NA	NA	NA
ASV2172	Fungi	Basidiomycota	Agaricomycetes	Agaricales	NA	NA	NA
ASV2173	NA	NA	NA	NA	NA	NA	NA
ASV2174	NA	NA	NA	NA	NA	NA	NA
ASV2175	NA	NA	NA	NA	NA	NA	NA
ASV2176	NA	NA	NA	NA	NA	NA	NA
ASV2177	NA	NA	NA	NA	NA	NA	NA
ASV2178	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Ascotricha	NA
ASV2179	NA	NA	NA	NA	NA	NA	NA
ASV2180	NA	NA	NA	NA	NA	NA	NA
ASV2181	NA	NA	NA	NA	NA	NA	NA
ASV2182	NA	NA	NA	NA	NA	NA	NA
ASV2183	NA	NA	NA	NA	NA	NA	NA
ASV2184	Fungi	Ascomycota	Sordariomycetes	Sordariales	Podosporaceae	Cladorrhinum	NA
ASV2185	NA	NA	NA	NA	NA	NA	NA
ASV2186	NA	NA	NA	NA	NA	NA	NA
ASV2187	NA	NA	NA	NA	NA	NA	NA
ASV2188	NA	NA	NA	NA	NA	NA	NA
ASV2189	NA	NA	NA	NA	NA	NA	NA
ASV2190	NA	NA	NA	NA	NA	NA	NA
ASV2191	NA	NA	NA	NA	NA	NA	NA
ASV2192	NA	NA	NA	NA	NA	NA	NA
ASV2193	NA	NA	NA	NA	NA	NA	NA
ASV2194	NA	NA	NA	NA	NA	NA	NA
ASV2195	Fungi	Ascomycota	Eurotiomycetes	Verrucariales	Verrucariaceae	Verrucaria	Verrucaria ceuthocarpa
ASV2196	NA	NA	NA	NA	NA	NA	NA
ASV2197	NA	NA	NA	NA	NA	NA	NA
ASV2198	NA	NA	NA	NA	NA	NA	NA
ASV2199	NA	NA	NA	NA	NA	NA	NA
ASV2200	Fungi	Ascomycota	Dothideomycetes	Tubeufiales	Wiesneriomycetaceae	Spissiomyces	NA
ASV2201	NA	NA	NA	NA	NA	NA	NA
ASV2202	NA	NA	NA	NA	NA	NA	NA
ASV2203	NA	NA	NA	NA	NA	NA	NA
ASV2204	NA	NA	NA	NA	NA	NA	NA
ASV2205	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV2206	NA	NA	NA	NA	NA	NA	NA
ASV2207	NA	NA	NA	NA	NA	NA	NA
ASV2208	NA	NA	NA	NA	NA	NA	NA
ASV2209	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV2210	NA	NA	NA	NA	NA	NA	NA
ASV2211	NA	NA	NA	NA	NA	NA	NA
ASV2212	NA	NA	NA	NA	NA	NA	NA
ASV2213	NA	NA	NA	NA	NA	NA	NA
ASV2214	NA	NA	NA	NA	NA	NA	NA
ASV2215	NA	NA	NA	NA	NA	NA	NA
ASV2216	Fungi	Blastocladiomycota	Blastocladiomycetes	Blastocladiales	NA	NA	NA
ASV2217	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Rhizophagus	NA
ASV2218	Fungi	NA	NA	NA	NA	NA	NA
ASV2219	NA	NA	NA	NA	NA	NA	NA
ASV2220	NA	NA	NA	NA	NA	NA	NA
ASV2221	NA	NA	NA	NA	NA	NA	NA
ASV2222	NA	NA	NA	NA	NA	NA	NA
ASV2223	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Itersonilia	Itersonilia perplexans
ASV2224	NA	NA	NA	NA	NA	NA	NA
ASV2225	NA	NA	NA	NA	NA	NA	NA
ASV2226	NA	NA	NA	NA	NA	NA	NA
ASV2227	NA	NA	NA	NA	NA	NA	NA
ASV2228	NA	NA	NA	NA	NA	NA	NA
ASV2229	NA	NA	NA	NA	NA	NA	NA
ASV2230	NA	NA	NA	NA	NA	NA	NA
ASV2231	NA	NA	NA	NA	NA	NA	NA
ASV2232	NA	NA	NA	NA	NA	NA	NA
ASV2233	NA	NA	NA	NA	NA	NA	NA
ASV2234	NA	NA	NA	NA	NA	NA	NA
ASV2235	Fungi	NA	NA	NA	NA	NA	NA
ASV2236	NA	NA	NA	NA	NA	NA	NA
ASV2237	NA	NA	NA	NA	NA	NA	NA
ASV2238	NA	NA	NA	NA	NA	NA	NA
ASV2239	NA	NA	NA	NA	NA	NA	NA
ASV2240	Rhizaria	Haplosporidia	NA	NA	NA	NA	NA
ASV2241	NA	NA	NA	NA	NA	NA	NA
ASV2242	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Tulostoma	NA
ASV2243	NA	NA	NA	NA	NA	NA	NA
ASV2244	NA	NA	NA	NA	NA	NA	NA
ASV2245	NA	NA	NA	NA	NA	NA	NA
ASV2246	NA	NA	NA	NA	NA	NA	NA
ASV2247	NA	NA	NA	NA	NA	NA	NA
ASV2248	NA	NA	NA	NA	NA	NA	NA
ASV2249	Fungi	Ascomycota	Leotiomycetes	Thelebolales	Pseudeurotiaceae	Pseudeurotium	NA
ASV2250	NA	NA	NA	NA	NA	NA	NA
ASV2251	NA	NA	NA	NA	NA	NA	NA
ASV2252	NA	NA	NA	NA	NA	NA	NA
ASV2253	NA	NA	NA	NA	NA	NA	NA
ASV2254	NA	NA	NA	NA	NA	NA	NA
ASV2255	NA	NA	NA	NA	NA	NA	NA
ASV2256	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	NA
ASV2257	NA	NA	NA	NA	NA	NA	NA
ASV2258	NA	NA	NA	NA	NA	NA	NA
ASV2259	NA	NA	NA	NA	NA	NA	NA
ASV2260	Fungi	NA	NA	NA	NA	NA	NA
ASV2261	NA	NA	NA	NA	NA	NA	NA
ASV2262	NA	NA	NA	NA	NA	NA	NA
ASV2263	NA	NA	NA	NA	NA	NA	NA
ASV2264	NA	NA	NA	NA	NA	NA	NA
ASV2265	NA	NA	NA	NA	NA	NA	NA
ASV2266	Fungi	NA	NA	NA	NA	NA	NA
ASV2267	NA	NA	NA	NA	NA	NA	NA
ASV2268	NA	NA	NA	NA	NA	NA	NA
ASV2269	NA	NA	NA	NA	NA	NA	NA
ASV2270	NA	NA	NA	NA	NA	NA	NA
ASV2271	NA	NA	NA	NA	NA	NA	NA
ASV2272	NA	NA	NA	NA	NA	NA	NA
ASV2273	Fungi	NA	NA	NA	NA	NA	NA
ASV2274	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	NA
ASV2275	Fungi	Ascomycota	Dothideomycetes	Dothideales	Saccotheciaceae	Aureobasidium	NA
ASV2276	NA	NA	NA	NA	NA	NA	NA
ASV2277	NA	NA	NA	NA	NA	NA	NA
ASV2278	NA	NA	NA	NA	NA	NA	NA
ASV2279	NA	NA	NA	NA	NA	NA	NA
ASV2280	NA	NA	NA	NA	NA	NA	NA
ASV2281	NA	NA	NA	NA	NA	NA	NA
ASV2282	NA	NA	NA	NA	NA	NA	NA
ASV2283	NA	NA	NA	NA	NA	NA	NA
ASV2284	NA	NA	NA	NA	NA	NA	NA
ASV2285	NA	NA	NA	NA	NA	NA	NA
ASV2286	NA	NA	NA	NA	NA	NA	NA
ASV2287	NA	NA	NA	NA	NA	NA	NA
ASV2288	NA	NA	NA	NA	NA	NA	NA
ASV2289	NA	NA	NA	NA	NA	NA	NA
ASV2290	NA	NA	NA	NA	NA	NA	NA
ASV2291	NA	NA	NA	NA	NA	NA	NA
ASV2292	NA	NA	NA	NA	NA	NA	NA
ASV2293	NA	NA	NA	NA	NA	NA	NA
ASV2294	NA	NA	NA	NA	NA	NA	NA
ASV2295	NA	NA	NA	NA	NA	NA	NA
ASV2296	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV2297	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	NA
ASV2298	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV2299	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV2300	NA	NA	NA	NA	NA	NA	NA
ASV2301	NA	NA	NA	NA	NA	NA	NA
ASV2302	NA	NA	NA	NA	NA	NA	NA
ASV2303	Fungi	NA	NA	NA	NA	NA	NA
ASV2304	NA	NA	NA	NA	NA	NA	NA
ASV2305	NA	NA	NA	NA	NA	NA	NA
ASV2306	Fungi	NA	NA	NA	NA	NA	NA
ASV2307	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	NA
ASV2308	Fungi	Ascomycota	Eurotiomycetes	Verrucariales	Verrucariaceae	Verrucaria	Verrucaria ceuthocarpa
ASV2309	Fungi	NA	NA	NA	NA	NA	NA
ASV2310	NA	NA	NA	NA	NA	NA	NA
ASV2311	NA	NA	NA	NA	NA	NA	NA
ASV2312	NA	NA	NA	NA	NA	NA	NA
ASV2313	NA	NA	NA	NA	NA	NA	NA
ASV2314	NA	NA	NA	NA	NA	NA	NA
ASV2315	NA	NA	NA	NA	NA	NA	NA
ASV2316	NA	NA	NA	NA	NA	NA	NA
ASV2317	NA	NA	NA	NA	NA	NA	NA
ASV2318	NA	NA	NA	NA	NA	NA	NA
ASV2319	NA	NA	NA	NA	NA	NA	NA
ASV2320	NA	NA	NA	NA	NA	NA	NA
ASV2321	NA	NA	NA	NA	NA	NA	NA
ASV2322	NA	NA	NA	NA	NA	NA	NA
ASV2323	NA	NA	NA	NA	NA	NA	NA
ASV2324	NA	NA	NA	NA	NA	NA	NA
ASV2325	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Lasiobolidium	Lasiobolidium orbiculoides
ASV2326	Fungi	Glomeromycota	NA	NA	NA	NA	NA
ASV2327	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	NA	NA
ASV2328	NA	NA	NA	NA	NA	NA	NA
ASV2329	NA	NA	NA	NA	NA	NA	NA
ASV2330	NA	NA	NA	NA	NA	NA	NA
ASV2331	NA	NA	NA	NA	NA	NA	NA
ASV2332	NA	NA	NA	NA	NA	NA	NA
ASV2333	NA	NA	NA	NA	NA	NA	NA
ASV2334	NA	NA	NA	NA	NA	NA	NA
ASV2335	NA	NA	NA	NA	NA	NA	NA
ASV2336	NA	NA	NA	NA	NA	NA	NA
ASV2337	NA	NA	NA	NA	NA	NA	NA
ASV2338	NA	NA	NA	NA	NA	NA	NA
ASV2339	NA	NA	NA	NA	NA	NA	NA
ASV2340	NA	NA	NA	NA	NA	NA	NA
ASV2341	NA	NA	NA	NA	NA	NA	NA
ASV2342	NA	NA	NA	NA	NA	NA	NA
ASV2343	NA	NA	NA	NA	NA	NA	NA
ASV2344	NA	NA	NA	NA	NA	NA	NA
ASV2345	NA	NA	NA	NA	NA	NA	NA
ASV2346	NA	NA	NA	NA	NA	NA	NA
ASV2347	NA	NA	NA	NA	NA	NA	NA
