SampleID	Locus	Flowcell	Site	Site_layer	Layer	Soil_type	Soil_type_layer	Crust_type	Sampling_month	Sampling_Date
AlphaB3.TR.2	ITS	TBD	AB	AB_SF	Surface	Granite	Granite_SF	SMC	March_2064	5/4/15
AlphaB4.TR.1	ITS	TBD	AB	AB_SF	Surface	Granite	Granite_SF	SMC	March_2065	5/5/15
AlphaB5.TR.2.1	ITS	TBD	AB	AB_SF	Surface	Granite	Granite_SF	SMC	March_2066	5/6/15
AlphaB5.TR.2.2	ITS	TBD	AB	AB_SF	Surface	Granite	Granite_SF	SMC	March_2067	5/7/15
AlphaC2.TR.2	ITS	TBD	AB	AB_SF	Surface	Granite	Granite_SF	SMC	March_2068	5/8/15
AlphaC4.TR.2	ITS	TBD	AB	AB_SF	Surface	Granite	Granite_SF	SMC	March_2069	5/9/15
BetaA3.TR.2	ITS	TBD	ODLO	ODLO_Sub	Subsurface	Granite	Granite_Sub	SMC.sub	March_2070	5/10/15
BetaB1.TR.1	ITS	TBD	ODLO	ODLO_SF	Surface	Granite	Granite_SF	SMC	March_2071	5/11/15
BetaB2.TR.2	ITS	TBD	ODLO	ODLO_SF	Surface	Granite	Granite_SF	SMC	March_2072	5/12/15
BetaC1.TR.2	ITS	TBD	ODLO	ODLO_SF	Surface	Granite	Granite_SF	SMC	March_2073	5/13/15
BetaC2.TR.2	ITS	TBD	ODLO	ODLO_SF	Surface	Granite	Granite_SF	SMC	March_2074	5/14/15
GammaA5.TR.2	ITS	TBD	CIMA	CIMA_Sub	Subsurface	Granite	Granite_Sub	SMC.sub	March_2075	5/15/15
GammaB1.TR.1	ITS	TBD	CIMA	CIMA_SF	Surface	Volcanic	Volcanic_SF	SMC	March_2076	5/16/15
GammaB4.TR.2	ITS	TBD	CIMA	CIMA_SF	Surface	Volcanic	Volcanic_SF	SMC	March_2077	5/17/15
GammaB5.TR.2	ITS	TBD	CIMA	CIMA_SF	Surface	Volcanic	Volcanic_SF	SMC	March_2078	5/18/15
GammaC2.TR.2.1	ITS	TBD	CIMA	CIMA_SF	Surface	Volcanic	Volcanic_SF	SMC	March_2079	5/19/15
GammaC2.TR.2.2	ITS	TBD	CIMA	CIMA_SF	Surface	Volcanic	Volcanic_SF	SMC	March_2080	5/20/15
GammaC3.TR.1	ITS	TBD	CIMA	CIMA_SF	Surface	Volcanic	Volcanic_SF	SMC	March_2081	5/21/15
GammaD4.TR.2	ITS	TBD	CIMA	CIMA_SF	Surface	Volcanic	Volcanic_SF	dirt	March_2082	5/22/15
GammaD5.TR.2	ITS	TBD	CIMA	CIMA_SF	Surface	Volcanic	Volcanic_SF	dirt	March_2083	5/23/15
AlphaD2.TR.1	ITS	TBD	AB	AB_SF	Surface	Granite	Granite_SF	dirt	March_2084	5/24/15
AlphaD2.TR.2	ITS	TBD	AB	AB_SF	Surface	Granite	Granite_SF	dirt	March_2085	5/25/15
AlphaD3.TR.2	ITS	TBD	AB	AB_SF	Surface	Granite	Granite_SF	dirt	March_2086	5/26/15
BetaD1.TR.1	ITS	TBD	ODLO	ODLO_SF	Surface	Granite	Granite_SF	dirt	March_2087	5/27/15
BetaD2.TR.1	ITS	TBD	ODLO	ODLO_SF	Surface	Granite	Granite_SF	dirt	March_2088	5/28/15
GammaD4.TR.2	ITS	TBD	CIMA	CIMA_SF	Surface	Volcanic	Volcanic_SF	dirt	March_2089	5/29/15
GammaD5.TR.2	ITS	TBD	CIMA	CIMA_SF	Surface	Volcanic	Volcanic_SF	dirt	March_2090	5/30/15
